"Tanggal","Nilai Ekspor Migas"
"2001-01-01","1215"
"2001-02-01","1106.1"
"2001-03-01","1360.8"
"2001-04-01","1074.3"
"2001-05-01","1150.1"
"2001-06-01","1088.3"
"2001-07-01","1083.5"
"2001-08-01","1010.5"
"2001-09-01","967.6"
"2001-10-01","895.1"
"2001-11-01","818.8"
"2001-12-01","866.2"
"2002-01-01","865.3"
"2002-02-01","812.4"
"2002-03-01","988"
"2002-04-01","1020.8"
"2002-05-01","989.9"
"2002-06-01","967.4"
"2002-07-01","959.8"
"2002-08-01","1016.4"
"2002-09-01","1072.7"
"2002-10-01","1145.5"
"2002-11-01","1097.2"
"2002-12-01","1177.2"
"2003-01-01","1197.5"
"2003-02-01","1259.5"
"2003-03-01","1296.3"
"2003-04-01","1125.8"
"2003-05-01","1004.3"
"2003-06-01","1093.3"
"2003-07-01","999.1"
"2003-08-01","1254.5"
"2003-09-01","1160.6"
"2003-10-01","1028.1"
"2003-11-01","1062.3"
"2003-12-01","1170"
"2004-01-01","1200.5"
"2004-02-01","1141.2"
"2004-03-01","1198.6"
"2004-04-01","1181.7"
"2004-05-01","1358.8"
"2004-06-01","1352.1"
"2004-07-01","1254.7"
"2004-08-01","1325.5"
"2004-09-01","1473.7"
"2004-10-01","1426.3"
"2004-11-01","1392"
"2004-12-01","1340.2"
"2005-01-01","1224.6"
"2005-02-01","1342"
"2005-03-01","1774.7"
"2005-04-01","1569.1"
"2005-05-01","1403.6"
"2005-06-01","1516.7"
"2005-07-01","1624.7"
"2005-08-01","1797.8"
"2005-09-01","1719.8"
"2005-10-01","1819.7"
"2005-11-01","1613.8"
"2005-12-01","1825"
"2006-01-01","1824.8"
"2006-02-01","1637.3"
"2006-03-01","1687.5"
"2006-04-01","1692"
"2006-05-01","1789.3"
"2006-06-01","1782.9"
"2006-07-01","2099"
"2006-08-01","1852.4"
"2006-09-01","1601.1"
"2006-10-01","1597.5"
"2006-11-01","1750.4"
"2006-12-01","1895.2"
"2007-01-01","1521.1"
"2007-02-01","1468.5"
"2007-03-01","1574.7"
"2007-04-01","1536.6"
"2007-05-01","1792"
"2007-06-01","1826.8"
"2007-07-01","1826.4"
"2007-08-01","1855.3"
"2007-09-01","2078.2"
"2007-10-01","1985"
"2007-11-01","2107"
"2007-12-01","2517"
"2008-01-01","2243.9"
"2008-02-01","2381.1"
"2008-03-01","2767.2"
"2008-04-01","2481.2"
"2008-05-01","3225.5"
"2008-06-01","2995"
"2008-07-01","2882.5"
"2008-08-01","2956.3"
"2008-09-01","2455.5"
"2008-10-01","1885.5"
"2008-11-01","1445.5"
"2008-12-01","1407"
"2009-01-01","1025.5"
"2009-02-01","1024.5"
"2009-03-01","1281.6"
"2009-04-01","1253.9"
"2009-05-01","1136.7"
"2009-06-01","1452.1"
"2009-07-01","1488.9"
"2009-08-01","1653.6"
"2009-09-01","1749.7"
"2009-10-01","2111.5"
"2009-11-01","2337.4"
"2009-12-01","2502.9"
"2010-01-01","2344.9"
"2010-02-01","2175.3"
"2010-03-01","2168.6"
"2010-04-01","2204.6"
"2010-05-01","2369.3"
"2010-06-01","1901.5"
"2010-07-01","1881.4"
"2010-08-01","1993.5"
"2010-09-01","2082.9"
"2010-10-01","2841.9"
"2010-11-01","2816.4"
"2010-12-01","3259.3"
"2011-01-01","2615"
"2011-02-01","2612.5"
"2011-03-01","3061.8"
"2011-04-01","3628.3"
"2011-05-01","4072.8"
"2011-06-01","3591"
"2011-07-01","3802.5"
"2011-08-01","4091.6"
"2011-09-01","3931"
"2011-10-01","3062.7"
"2011-11-01","3522.8"
"2011-12-01","3485"
"2012-01-01","3142.6"
"2012-02-01","3355.5"
"2012-03-01","3486.1"
"2012-04-01","3560.7"
"2012-05-01","3724.9"
"2012-06-01","2899.7"
"2012-07-01","2919.7"
"2012-08-01","2783"
"2012-09-01","2770.5"
"2012-10-01","2650.6"
"2012-11-01","2717.1"
"2012-12-01","2966.9"
"2013-01-01","2653.7"
"2013-02-01","2567.6"
"2013-03-01","2928.3"
"2013-04-01","2452.1"
"2013-05-01","2926.2"
"2013-06-01","2800.4"
"2013-07-01","2282.6"
"2013-08-01","2720.5"
"2013-09-01","2414.7"
"2013-10-01","2715.2"
"2013-11-01","2766.8"
"2013-12-01","3405.1"
"2014-01-01","2501.7"
"2014-02-01","2729.1"
"2014-03-01","2641.3"
"2014-04-01","2651.4"
"2014-05-01","2375.7"
"2014-06-01","2786"
"2014-07-01","2496.3"
"2014-08-01","2598.2"
"2014-09-01","2622.6"
"2014-10-01","2413.2"
"2014-11-01","2035.4"
"2014-12-01","2168"
"2015-01-01","1959"
"2015-02-01","1753.4"
"2015-03-01","1988.9"
"2015-04-01","1458.2"
"2015-05-01","1392.7"
"2015-06-01","1439.9"
