"Tanggal","Nilai Ekspor Migas (Peramalan)"
"2024-01-01 00:00:00","1392.8419189453"
"2024-02-01 00:00:00","1413.9979248047"
"2024-03-01 00:00:00","1413.5833740234"
"2024-04-01 00:00:00","1405.6041259766"
"2024-05-01 00:00:00","1402.8575439453"
"2024-06-01 00:00:00","1399.7006835938"
"2024-07-01 00:00:00","1394.2386474609"
"2024-08-01 00:00:00","1389.2495117188"
"2024-09-01 00:00:00","1385.5115966797"
"2024-10-01 00:00:00","1382.1362304688"
"2024-11-01 00:00:00","1379.4825439453"
"2024-12-01 00:00:00","1378.2760009766"
